PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,groupid,deck,deckroom,deckside
0001_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,0001,B,0,P
0002_01,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,0002,F,0,S
0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,0003,A,0,S
0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,0003,A,0,S
0004_01,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,0004,F,1,S
0005_01,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,0005,F,0,P
0006_01,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,0006,F,2,S
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,0006,G,0,S
0007_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,0007,F,3,S
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,0008,B,1,P
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,0008,B,1,P
0008_03,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,0008,B,1,P
0009_01,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,0009,F,1,P
0010_01,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,0010,G,1,S
0011_01,Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,0011,F,2,P
0012_01,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,0012,G,734,S
0014_01,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,0014,F,3,P
0015_01,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,0015,F,4,P
0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,0016,F,5,P
0017_01,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0017,G,0,P
0017_02,Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,0017,F,6,P
0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0020,E,0,S
0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,0020,E,0,S
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,0020,E,0,S
0020_04,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,0020,E,0,S
